title,link,snippet
Multiscale graph based spatio-temporal graph convolutional network for energy consumption prediction of natural gas transmission process,https://www.sciencedirect.com/science/article/pii/S0360544224022631,"Energy consumption prediction is crucial for planning and managing natural gas networks, enhancing transmission efficiency. However, most of relevant studies fail to consider the …"
Vulnerability detection via multiple-graph-based code representation,https://ieeexplore.ieee.org/abstract/document/10596932/,"During software development and maintenance, vulnerability detection is an essential part of software quality assurance. Even though many program-analysis-based and machine …"
Hybrid Graph Models for Traffic Prediction,https://www.mdpi.com/2076-3417/13/15/8673,"Obtaining accurate road conditions is crucial for traffic management, dynamic route planning, and intelligent guidance services. The complex spatial correlation and nonlinear …"
Topology augmented dynamic spatial-temporal network for passenger flow forecasting in urban rail transit,https://link.springer.com/article/10.1007/s10489-023-04651-z,"Millions of residents travel by urban rail transit (URT) every day, and it is meaningful to accurately predict passenger flows for the purpose of intelligent system management …"
Trajbert: Bert-based trajectory recovery with spatial-temporal refinement for implicit sparse trajectories,https://ieeexplore.ieee.org/abstract/document/10189092/,"In the realm of human mobility data analysis, a multitude of constraints result in the publication of sparse, non-uniform implicit trajectories without explicit location information …"
Graph neural networks and open-government data to forecast traffic flow,https://www.mdpi.com/2078-2489/14/4/228,"Traffic forecasting has been an important area of research for several decades, with significant implications for urban traffic planning, management, and control. In recent years …"
An attention-based deep learning model for citywide traffic flow forecasting,https://www.tandfonline.com/doi/abs/10.1080/17538947.2022.2028912,"Prompt and accurate traffic flow forecasting is a key foundation of urban traffic management. However, the flows in different areas and feature channels (inflow/outflow) may correspond …"
Geometric algebra graph neural network for cross-domain few-shot classification,https://link.springer.com/article/10.1007/s10489-021-03124-5,"Graph neural networks (GNNs) show powerful processing ability on graph structure data for nodes and graph classification. However, existing GNN models may cause information loss …"
A spatial–temporal hypergraph based method for service recommendation in the Mobile Internet of Things-enabled service platform,https://www.sciencedirect.com/science/article/pii/S1474034623001660,"With the rapid progress of Mobile Internet of Things (MIoT), Location-Based Services (LBSs) have become widely popular due to the deployment of diverse devices and facilities. The …"
Improving expressivity of gnns with subgraph-specific factor embedded normalization,https://dl.acm.org/doi/abs/10.1145/3580305.3599388,"Graph Neural Networks~(GNNs) have emerged as a powerful category of learning architecture for handling graph-structured data. However, existing GNNs typically ignore …"
STGAFormer: Spatial–temporal Gated Attention Transformer based Graph Neural Network for traffic flow forecasting,https://www.sciencedirect.com/science/article/pii/S156625352400006X,"Traffic flow prediction is a critical component of Intelligent Transportation Systems (ITS). However, the dynamic temporal variations in traffic flow, especially in potential occurrence of …"
Neural Collaborative Filtering to Detect Anomalies in Human Semantic Trajectories,https://arxiv.org/abs/2409.18427,"Human trajectory anomaly detection has become increasingly important across a wide range of applications, including security surveillance and public health. However, existing …"
Bridging the gap between spatial and spectral domains: A unified framework for graph neural networks,https://dl.acm.org/doi/abs/10.1145/3627816,Deep learning's performance has been extensively recognized recently. Graph neural networks (GNNs) are designed to deal with graph-structural data that classical deep …
Ollivier–Ricci curvature based spatio-temporal graph neural networks for traffic flow forecasting,https://www.mdpi.com/2073-8994/15/5/995,"Traffic flow forecasting is a basic function of intelligent transportation systems, and the accuracy of prediction is of great significance for traffic management and urban planning …"
KaTaGCN: Knowledge-Augmented and Time-Aware Graph Convolutional Network for efficient traffic forecasting,https://www.sciencedirect.com/science/article/pii/S1566253524003208,Dynamic spatio-temporal dependencies and temporal patterns in traffic series are critical factors affecting traffic forecasting accuracy. Due to the intrinsic challenges of incorporating …
MPSTAN: Metapopulation-Based Spatio–Temporal Attention Network for Epidemic Forecasting,https://www.mdpi.com/1099-4300/26/4/278,Accurate epidemic forecasting plays a vital role for governments to develop effective prevention measures for suppressing epidemics. Most of the present spatio–temporal …
Enhancement of traffic forecasting through graph neural network-based information fusion techniques,https://www.sciencedirect.com/science/article/pii/S1566253524002446,"To improve forecasting accuracy and capture intricate interactions within transportation networks, information fusion approaches are crucial for traffic predictions based on graph …"
Spatio-Temporal Predictive Modeling Techniques for Different Domains: a Survey,https://dl.acm.org/doi/abs/10.1145/3696661,"Spatio-temporal prediction tasks play a crucial role in facilitating informed decision-making through anticipatory insights. By accurately predicting future outcomes, the ability to …"
A review of graph neural network applications in mechanics-related domains,https://link.springer.com/article/10.1007/s10462-024-10931-y,"Mechanics-related tasks often present unique challenges in achieving accurate geometric and physical representations, particularly for non-uniform structures. Graph neural networks …"
GRAPHITE—Generative Reasoning and Analysis for Predictive Handling in Traffic Efficiency,https://www.sciencedirect.com/science/article/pii/S1566253524000435,"Traffic forecasting is a crucial aspect of modern Intelligent Transportation Systems (ITS) and the Internet of Vehicles (IoV), playing a vital role in improving the safety and efficiency of …"
ADSTGCN: A Dynamic Adaptive Deeper Spatio-Temporal Graph Convolutional Network for Multi-Step Traffic Forecasting,https://www.mdpi.com/1424-8220/23/15/6950,Multi-step traffic forecasting has always been extremely challenging due to constantly changing traffic conditions. Advanced Graph Convolutional Networks (GCNs) are widely …
Dynamic spatiotemporal correlation graph convolutional network for traffic speed prediction,https://www.mdpi.com/2073-8994/16/3/308,Accurate and real-time traffic speed prediction remains challenging due to the irregularity and asymmetry of real-traffic road networks. Existing models based on graph convolutional …
"Flight delay propagation modeling: Data, Methods, and Future opportunities",https://www.sciencedirect.com/science/article/pii/S1366554524001169,"Persistent flight delays have continually posed a substantial challenge within the aviation sector. These delays infiltrate the air transportation network, precipitating disruptions to …"
Spatial-temporal graph attention fuser for calibration in iot air pollution monitoring systems,https://ieeexplore.ieee.org/abstract/document/10325090/,"The use of Internet of Things (IoT) sensors for air pollution monitoring has significantly increased, resulting in the deployment of low-cost sensors. Despite this advancement …"
Review on machine learning-based traffic flow prediction methods,https://transport.chd.edu.cn/en/article/doi/10.19818/j.cnki.1671-1637.2023.03.003,The research status and development trend of macro traffic flow prediction of designated road sections and regional road network at home and abroad were analyzed by literature …
PM2ECGCN: Parallelized spatial-temporal structures of multi-lead ECG with graph convolution network for multi-center cardiac disease diagnosis,https://www.sciencedirect.com/science/article/pii/S0957417424007358,"Cardiovascular diseases (CVDs) are the leading global cause of death. As first-line diagnostic tool for CVDs, electrocardiograms (ECG) non-invasively assess cardiac condition …"
Automatic incident detection using edge-cloud collaboration based deep learning scheme for intelligent transportation systems,https://link.springer.com/article/10.1007/s10489-023-04673-7,"Automatic incident detection not only plays an important role in traffic safety management, but also contributes to the operation of intelligent transportation systems. Although the …"
Graph Neural Network for spatiotemporal data: methods and applications,https://arxiv.org/abs/2306.00012,"In the era of big data, there has been a surge in the availability of data containing rich spatial and temporal information, offering valuable insights into dynamic systems and processes for …"
Adaptive Fusion Graph Convolutional Networks Based Interpretable Fault Diagnosis Method for HVAC Systems Enhanced by Unlabeled Data,https://www.sciencedirect.com/science/article/pii/S037877882401017X,"Fault diagnosis is critical in maintaining the operational stability and reliability of Heating, Ventilation, and Air Conditioning (HVAC) systems, which are crucial for ensuring indoor …"
Dynamic spatial Transformer WaveNet network for traffic forecasting,https://www.worldscientific.com/doi/abs/10.1142/S2196888822500324,Traffic forecasting has emerged as an important task for developing intelligent transportation systems. Recent works focus on representing traffic as graph operation and using graph …
