title,link,snippet
K-STTN: Knowledge-induced Spatio-Temporal Transformer Networks for Traffic Forecasting,https://ieeexplore.ieee.org/abstract/document/10350141/,"Accurate traffic forecasting is essential to improve traffic efficiency, ensure urban traffic safety, and promote sus-tainable urban development. In recent years, extensive deep …"
IV-GNN: interval valued data handling using graph neural network,https://link.springer.com/article/10.1007/s10489-022-03780-1,"Interval-valued data is an effective way to represent complex information where uncertainty, inaccuracy etc. are involved in the data space and they are worthy of taking into account …"
Application of Spatial Temporal Graph Neural Networks for Forecasting Data Time Series River Pollution Waste Content in Probolinggo,https://www.atlantis-press.com/proceedings/iconnsmal-22/125987147,Flooding has become a serious problem in Probolinggo. One of the causes of flooding is the accumulation of garbage in the river. Garbage can also cause river water pollution. To …
Recent Advances in Graph-based Machine Learning for Applications in Smart Urban Transportation Systems,https://arxiv.org/abs/2306.01282,"The Intelligent Transportation System (ITS) is an important part of modern transportation infrastructure, employing a combination of communication technology, information …"
An Efficient Skip Link-based Traffic Prediction Algorithm with Multi-Scale Feature Extraction,https://ieeexplore.ieee.org/abstract/document/10566931/,"Traffic prediction is an important component in the development of Intelligent Transportation Systems (ITS). To improve the accuracy of traffic prediction, many existing studies focus on …"
Using Machine Learning and Deep learning for traffic congestion prediction: a review,https://www.elgaronline.com/edcollchap/book/9781803929545/book-part-9781803929545-11.xml,"With the acceleration of urbanisation, decreased vehicle prices and increased population in many cities, traffic demand has been rapidly increasing in recent years. Urban road traffic …"
Traffic Forecasting & Route Optimization in Smart Environment Using Graph Representation Learning,https://ieeexplore.ieee.org/abstract/document/10293287/,"Route optimization and traffic forecasting play pivotal roles in efficient traffic management and the development of intelligent transportation systems in smart cities. In tandem, traffic …"
A Highly Efficient and Effective Attribute Learning Framework for Road Graph from Aerial Imagery and GPS,https://dl.acm.org/doi/abs/10.1145/3615833.3628594,"Road attributes play a pivotal role in digital maps, providing critical information for various routing and planning applications that aim to create a safe and efficient traffic environment …"
Hypernetwork Temporal Embedding for Graph,https://ieeexplore.ieee.org/abstract/document/10387072/,"Representation learning on temporal graphs has been a crucial facilitator in uncovering insights from real-world temporal graphs. In previous approaches, a common practice was to …"
Forecasting is all we need: Adapting graph neural network methods for a peer-to-peer sharing economy platform,https://ieeexplore.ieee.org/abstract/document/10675887/,Estimating events in the near future with the help of forecasting techniques is undoubtedly of crucial importance in practice and facilitates decision-making from a management …
7 Intelligent Spatial,https://books.google.com/books?hl=en&lr=&id=liXpEAAAQBAJ&oi=fnd&pg=PA121&ots=CO6eMh0O_2&sig=iFw_yNhlH4JiRRA5mFGEFlAHLeg,"The necessity to obtain accurate predictions from observed data can be found in all scientific disciplines (Cressie, 2015). Measurements of geographic variables (phenomena) are …"
Intelligent Spatial Prediction and Interpolation Methods,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003308423-7/intelligent-spatial-prediction-interpolation-methods-di-zhu-guofeng-cao,Spatial prediction methods represent a set of tools for obtaining accurate data of geographic variables from limited observations. As an emerging subfield of GIScience that uses artificial …
A Fundamental Model with Stable Interpretability for Traffic Forecasting,https://dl.acm.org/doi/abs/10.1145/3615889.3628510,"Deep learning models have been widely applied in traffic prediction and analysis. Notably, attention-based models like Graph Attention Network (GAT) have brought significant insights …"
Modeling Environment Intelligent Transport System for Eco-Friendly Urban Mobility.,https://ceur-ws.org/Vol-3675/paper9.pdf,The research in this paper focuses on developing a modeling environment for urban mobility systems and traffic flow services. A modeling environment for urban mobility systems and …
An Efficient Two-stage Gradient Boosting Framework for Short-term Traffic State Estimation,https://arxiv.org/abs/2302.10400,Real-time traffic state estimation is essential for intelligent transportation systems. The NeurIPS 2022 Traffic4cast challenge provides an excellent testbed for benchmarking short …
"Fundamental problems in graph learning: optimization, generalization, privacy, and model design",https://etda.libraries.psu.edu/catalog/24108wxc272,"This dissertation extensively investigates various aspects of Graph Neural Networks (GNNs) in the context of graph representation learning, a field that has made significant strides in …"
On Rainbow Vertex Antimagic Coloring and Its Application on STGNN Time Series Forecasting on Subsidized Diesel Consumption.,https://www.iaeng.org/IJAM/issues_v54/issue_5/IJAM_54_5_22.pdf,"Let G=(V, E) be a simple, connected and un-directed graph. We introduce a new notion of rainbow vertex antimagic coloring. This is a natural expansion of rainbow vertex coloring …"
Faster abnormality localization and recognition in a secured video bitstream by implementation of video encryption techniques,https://www.matec-conferences.org/articles/matecconf/abs/2024/04/matecconf_icmed2024_01147/matecconf_icmed2024_01147.html,Cloud video storage uses an encrypted format to protect user data. It means encrypted video processing is an essential part of secured cloud storage. In order to detect suspicious or …
Neural ODE-Guided Imputation Computing for Building IoT Time Series with High Missing Gaps,https://ieeexplore.ieee.org/abstract/document/10580710/,Imputing missing data in Building Internet of Things (BIoT) poses a significant challenge due to the complex multi-dimensional variations and the inevitable occurrence of long-span …
Wavelet Decomposition Self-Supervised Neural Networks for Traffic Flow Forecasting,https://ieeexplore.ieee.org/abstract/document/10662847/,"Accurate traffic flow forecasting is of great significance for improving traffic flow efficiency, optimizing public traffic resources, and improving traffic management capability. However …"
Comparative Analysis of Two Graph Neural Network-Based Approaches to Traffic Speed Forecasting,https://ieeexplore.ieee.org/abstract/document/10420996/,Traffic forecasting is an important area of research in transportation technology since it can help planners and engineers make informed decisions about how to manage traffic and …
"Traffic Flow Prediction Using Big Data and Geographic Information Systems: A Survey of Data Sources, Frameworks, Challenges, and Opportunities",https://www.researchgate.net/profile/Sayed-Sayed-14/publication/372788139_Traffic_Flow_Prediction_Using_Big_Data_and_Geographic_Information_Systems_A_Survey_of_Data_Sources_Frameworks_Challenges_and_Opportunities/links/64c8c447db38b20d6dad3416/Traffic-Flow-Prediction-Using-Big-Data-and-Geographic-Information-Systems-A-Survey-of-Data-Sources-Frameworks-Challenges-and-Opportunities.pdf,"Big Data has been utilized extensively in numerous fields, including transportation. Using several sources of data, traffic conditions can be accurately anticipated and forecasted to …"
The slow lane: a study on the diffusion of full-electric cars in Italy,https://www.econstor.eu/handle/10419/300345,"The transition to a zero-emission car fleet is a pivotal element of Europe's decarbonisation strategy. Italy's participation in this trajectory is significant, given the size of its car fleet …"
Foresight Plus: Scalable Serverless Real-Time Spatio-Temporal Traffic Forecasting,https://www.researchsquare.com/article/rs-3353187/latest,"Building a real-time, cost-effective, spatio-temporal forecasting system is a challenging problem with many practical applications such as traffic and road network management …"
图神经网络在交通预测中的应用综述,https://transport.chd.edu.cn/cn/article/doi/10.19818/j.cnki.1671-1637.2023.05.003,"为寻求提升交通预测时空计算任务性能的有效途径, 探索图神经网络技术在交通预测中的应用前景和挑战, 回顾了交通预测方法的发展, 总结了模型驱动方法, 统计模型, 传统机器学习方法和 …"
Unifying spatiotemporal and frequential attention for traffic prediction,https://www.researchsquare.com/article/rs-4961410/latest,"Urban traffic flow prediction is an essential task within intelligent transportation systems, and numerous methodologies have been proposed to address it. However, most existing …"
Explainable Spatially-Explicit GeoAI in Urban Analytics,https://www.researchgate.net/profile/Filip-Biljecki/publication/374291691_Explainable_Spatially-Explicit_GeoAI_in_Urban_Analytics/links/664b5326479366623afe50f2/Explainable-Spatially-Explicit-GeoAI-in-Urban-Analytics.pdf,"Geospatial artificial intelligence (GeoAI) is proliferating in urban analytics, where graph neural networks (GNNs) have become one of the most popular methods in recent years …"
Leveraging process mining for knowledge extraction and process optimization,https://theses.hal.science/tel-04188502/,"The automotive sector requires the mass production of electronic boards matching the highest quality standards and best-in-class performance. Nowadays, electronic boards are …"
Hardware-Software Codesign for Accelerating Graph Neural Networks on FPGA,https://search.proquest.com/openview/f3117d4ea8c40a83331ee7d4c12ddbad/1?pq-origsite=gscholar&cbl=18750&diss=y,Abstract Graph Neural Networks (GNNs) have revolutionized many real-world applications where data can be represented as graphs. These applications include recommendation …
Application of Graph Neural Networks in Road Traffic Forecasting for Intelligent Transportation Systems,https://repositorio-aberto.up.pt/bitstream/10216/151990/2/636674.pdf,"Traffic forecasting is a crucial aspect of Intelligent Transportation Systems, as it has the potential to improve the mobility and efficiency of transportation in cities while reducing costs …"
Short-Term Traffic Flow Prediction Based on Wavelet Analysis and XGBoost,http://amjce.com/article/10.11648/j.ijtet.20241001.12,Traffic flow prediction is of great significance for urban planning and alleviating traffic congestion. Due to the randomness and high volatility of urban road network short-term …
A bilevel optimal control method and application to the hybrid electric vehicle,https://hal.science/hal-04359870/,In this article we present a new numerical method based on a bilevel decomposition of optimal control problems. A strong connection between the proposed method and the …
Improved Sparrow Search Algorithm Optimized Neural Network Analysis of Traffic Congestion,https://link.springer.com/chapter/10.1007/978-3-031-53404-1_10,"Accurate traffic congestion prediction is of great significance for applications such as traffic control and route optimization. However, the traffic situation is affected by many complex …"
Creating and Embedding Spatio-Temporal Knowledge Graphs.,https://iswc2023.semanticweb.org/wp-content/uploads/2023/11/ISWC2023_paper_372.pdf,"An important paradigm of spatial analysis is the first law of geography, formulated by Tobler, which states that every geographic object is related to each other, but near geographic …"
BoxNet: Fine-grained Action Classification in Boxing,https://ieeexplore.ieee.org/abstract/document/10327379/,The skeleton data is widely used in general action recognition since it is robustly distinguish the action operator and complex background. When it comes to more fine-grained scenario …
Training and evaluating deep learning models on road graphs for traffic prediction using SUMO,https://serwiss.bib.hs-hannover.de/frontdoor/index/index/docId/3109,"The escalation of traffic volume in urban areas poses multifaceted challenges including increased accident risks, congestion, and prolonged travel times. Traditional approaches of …"
Dynamic Deeper Graph Convolutional Network for Traffic Prediction,https://ieeexplore.ieee.org/abstract/document/10164956/,Graph convolutional networks (GCNs) are widely used in traffic prediction because they can better represent the structure of traffic network. GCNs can obtain deeper feature …
Multi-Spatial Scale Spatio-Temporal Transformer: A Refined Traffic Data Forecasting Method,https://www.researchsquare.com/article/rs-3190420/latest,Accurate traffic data forecasting is essential to improve the efficiency of intelligent transportation systems. Existing traffic prediction models only model spatial dependency …
Exploring the horizon of AI development: Navigating constraints of chips and power in the technological landscape,https://www.ewadirect.com/proceedings/ace/article/view/13822,"With the proliferation of AI technology, machine learning has emerged as a cornerstone of AI systems, facilitating pattern recognition and decision-making through robust data analysis …"
Use of Subgraph Mining in Histopathology Image Classification,https://search.proquest.com/openview/cc47ced0f0162898758828a05acdcb07/1?pq-origsite=gscholar&cbl=2026366&diss=y,Breast cancer is the most common cancer in women and has a high mortality rate. Computer vision techniques can be used to help experts to analyze the breast cancer biopsy samples …
Generalized Taxonomy-Guided Graph Neural Networks,https://www.ijcai.org/proceedings/2024/0289.pdf,"Graph neural networks have been demonstrated to be effective analytic apparatus for mining network data. Most real-world networks are inherently hierarchical, offering unique …"
The slow lane: a study on the diffusion of full-electric cars in Italy,https://services.bepress.com/feem/paper1446/,"The transition to a zero-emission car fleet is a pivotal element of Europe's decarbonisation strategy. Italy's participation in this trajectory is significant, given the size of its car fleet …"
Predictability Capabilities of Human Mobility Models,https://bia.unibz.it/view/pdfCoverPage?instCode=39UBZ_INST&filePid=13310858400001241&download=true,"Effectively capturing individual-and collective-level human mobility is paramount to solving many modern societal challenges. In the last few years, thanks to the availability of big …"
Topological and Temporal Data Augmentation for Temporal Graph Networks,https://openreview.net/forum?id=HSgx1aJeR8,"Temporal graphs are extensively employed to represent evolving networks, finding applications across diverse fields such as transportation systems, social networks, and …"
Predição do número de alunos por municípios do projeto “Saúde com Agente” utilizando Redes Neurais de Grafos (GNN),https://lume.ufrgs.br/handle/10183/276963,"A previsão de dados espaciais tem ganhado crescente importância em diversas áreas do conhecimento. Nesse contexto, modelos baseados em redes neurais e aprendizado …"
ReG-NAS: Graph Neural Network Architecture Search using Regression Proxy Task,https://openreview.net/forum?id=t7HIN3fUAUu,Neural Architecture Search (NAS) has become a focus that has been extensively researched in recent years. Innovative achievements are yielded from the area like …
An application of graph neural networks for stock market data,https://www.eventiotic.com/eventiotic/files/Papers/URL/ee2a47a5-7a4c-4460-9f62-5dc57bf5b8f1.pdf,"This research is developed in order to describe the behavior present in the market and Limit Order book dynamics, using the concepts of supervised and unsupervised learning. The …"
Simulating Traffic Networks,no_link,
Bilevel Programming Model of Discrete Traffic Network Based on Machine Learning Optimization Hybrid Algorithm,http://scholar-press.com/uploads/papers/CNd4Vfl3tzj5WUqMOVGym0OsU2mhEUO0LccdsZkQ.pdf,"With the rise of living standards, more and more people choose to travel by car, which increases the pressure on the urban traffic network (TN). The TN needs to be re planned and …"
GA2T: 结合图注意力网络的交通流预测模型,https://www.jcad.cn/cn/article/doi/10.3724/SP.J.1089.2023.19758,"交通流预测是智能交通系统的核心组成部分. 针对当前交通流预测方法准确率低的问题, 提出一种交通流预测模型GA2T. 通过构建具有融合式编解码器的Transformer …"
Derin ögrenme ile çizge zaman serilerinin analizi,http://193.140.108.196:8080/handle/20.500.11851/10593,"Zaman serileri bir nesnenin zamansal değişimini anlamak için kullanılır. Finans, enerji sektörü, trafik gibi çeşitli alanlarda zaman serileri ile karşılaşılmaktadır. Ayrıca anomali …"
"Intelligent Pendeln-IIP Zwischenbericht AG CW, JS",https://www.intelligent-pendeln.de/fileadmin/downloads/ip-zwischenbericht-2023.pdf,1.1 Überblick Dieser Bericht fasst den Arbeitsstand der AGs Westerkamp und Schöning der Hochschule Osnabrück im IIP-Projekt zusammen. Er gibt einen Überblick über …
Meningkatkan Keterampilan Berpikir Komputasional Mahasiswa Menyelesaikan RAC Melalui Penerapan RBL-STEM,no_link,
